Size,Selection,Run,Generation,BestFit,AvgFit
250,Roleta,1,0,7927.12,6861.13
250,Roleta,1,1,7679.46,6923.54
250,Roleta,1,2,7663.65,6947.53
250,Roleta,1,3,7829.18,6963.63
250,Roleta,1,4,7812.38,7032.96
250,Roleta,1,5,7703.98,7032.05
250,Roleta,1,6,7644.23,7061.06
250,Roleta,1,7,7918.95,7045.08
250,Roleta,1,8,7974.82,7037.05
250,Roleta,1,9,8101.95,7049.56
250,Roleta,1,10,7918.56,7047.17
250,Roleta,1,11,8076.32,7089.41
250,Roleta,1,12,7986.97,7063.1
250,Roleta,1,13,7832.07,7079.19
250,Roleta,1,14,8092.54,7156.31
250,Roleta,1,15,8120.35,7219.32
250,Roleta,1,16,7871.74,7156.4
250,Roleta,1,17,7932.56,7190.64
250,Roleta,1,18,7883.42,7242.24
250,Roleta,1,19,8228.93,7287.73
250,Roleta,1,20,8115.32,7243.53
250,Roleta,1,21,8057.63,7237.73
250,Roleta,1,22,8158.35,7270.33
250,Roleta,1,23,8071.14,7257.94
250,Roleta,1,24,8139.98,7264
250,Roleta,1,25,8126.41,7255.47
250,Roleta,1,26,8101.03,7219.06
250,Roleta,1,27,7967.93,7169.93
250,Roleta,1,28,7944.29,7166.29
250,Roleta,1,29,8101.9,7159.19
250,Roleta,1,30,8104.52,7201.93
250,Roleta,1,31,8192.13,7221.24
250,Roleta,1,32,8130.54,7217.29
250,Roleta,1,33,8393.12,7193.43
250,Roleta,1,34,8196.32,7197.17
250,Roleta,1,35,8071.19,7183.31
250,Roleta,1,36,8048.39,7213.46
250,Roleta,1,37,7936.74,7191.63
250,Roleta,1,38,8186.91,7153.12
250,Roleta,1,39,8007.55,7149.21
250,Roleta,1,40,7773.22,7150.25
250,Roleta,1,41,7953.35,7220.8
250,Roleta,1,42,7933.42,7196.03
250,Roleta,1,43,8055.92,7232.69
250,Roleta,1,44,7813.07,7237.72
250,Roleta,1,45,8041.19,7270.63
250,Roleta,1,46,8047.88,7235.22
250,Roleta,1,47,8030.68,7235.43
250,Roleta,1,48,7869.07,7266.2
250,Roleta,1,49,7845.25,7234.07
250,Roleta,1,50,8016.46,7242.35
250,Roleta,1,51,8018.96,7270.53
250,Roleta,1,52,8040.8,7259.83
250,Roleta,1,53,8041.69,7306.43
250,Roleta,1,54,8201.47,7352.61
250,Roleta,1,55,8256.86,7396.44
250,Roleta,1,56,8190.12,7385.99
