Size,Selection,Run,Obj1,Obj2,Obj3
250,Roleta,1,7977.05,8143.65,8067.21
250,Roleta,1,8002.92,7775.14,7613.26
250,Roleta,1,8142.06,7957.33,7894.54
250,Roleta,1,8093.45,8023.42,7799.46
250,Roleta,1,8211.78,8298.82,8110.01
250,Roleta,1,7807.8,7594.44,7364.74
250,Roleta,1,8025.8,8147.74,7811.51
250,Roleta,1,7883,7657.2,7442.22
250,Roleta,1,8194.1,7966.91,7853.57
250,Roleta,1,8018.64,8271.3,8208
250,Roleta,1,8267.85,8009.92,7813.65
250,Roleta,1,8533.89,8581.71,8463.26
250,Roleta,1,8367.82,8108.56,7812.77
250,Roleta,1,8115.27,7779.49,8084.68
250,Roleta,1,8394.69,8333.23,8212.87
250,Roleta,1,8125.64,8026.2,8039.32
250,Roleta,1,7830.2,7833.7,7566.85
250,Roleta,1,8296.32,7944.97,7721.97
250,Roleta,1,8169.21,8010.22,8074.69
250,Roleta,1,8198.63,8195.12,7644.78
250,Roleta,1,7784.94,8080.2,7787.36
250,Roleta,1,8347.12,8498.92,8355.76
250,Roleta,1,7923.8,7971.98,7628.69
250,Roleta,1,7819.76,8081.65,7811.38
250,Roleta,1,8375.45,7941.69,8037.98
250,Roleta,1,8065.12,7653.67,7494.13
250,Roleta,1,8001.64,7974.27,7903.87
250,Roleta,1,8001.64,7974.27,7903.87
250,Roleta,1,7942.47,7839.31,7828.28
250,Roleta,1,8315.07,8095.44,8127.32
250,Roleta,1,7944.46,7605.85,7580.96
250,Roleta,1,8019.91,7884.87,7621.98
250,Roleta,1,8256.4,8260.8,8357.64
250,Roleta,1,7729.17,7680.49,7539.58
250,Roleta,1,8319.51,8508.74,7695.35
250,Roleta,1,8636.36,8475.24,8510.24
250,Roleta,1,7788.62,7960.26,7692.54
250,Roleta,1,8224.88,8282.02,7906.04
250,Roleta,1,8556.49,8532.16,8198.63
250,Roleta,1,7929.1,7722.56,7550.62
250,Roleta,1,8012.39,7893.33,7610.02
250,Roleta,1,8196.68,8147.62,8394
250,Roleta,1,7799.73,8171.24,7853.02
250,Roleta,1,7804.25,7659.26,7621.76
250,Roleta,1,7648.97,7627.7,7649.1
250,Roleta,1,8197.05,8148,8117.77
250,Roleta,1,7832.7,7759.38,7805.49
250,Roleta,1,8401.14,8019.57,7815.08
250,Roleta,1,8408.5,7994.17,7857.1
250,Roleta,1,8054.36,8314.96,8013.61
250,Roleta,1,7964.41,7842.77,7627.74
250,Roleta,1,8170.86,7892.03,7590.26
250,Roleta,1,7755.99,7455.22,7613.35
250,Roleta,1,8376.35,8452.92,8092.75
250,Roleta,1,7955.42,8097.94,7901.95
250,Roleta,1,8231.07,7884.11,8031.81
250,Roleta,1,7982.98,7775.22,7729.81
250,Roleta,1,8194.63,7676.27,7494.32
250,Roleta,1,8316.79,8034.48,7714.85
250,Roleta,1,7313.26,7500.87,7270.9
250,Roleta,1,8328.05,8512.38,8119.51
250,Roleta,1,8289.33,8397.45,7837.19
250,Roleta,1,8076.32,8421.84,8032
250,Roleta,1,7991.17,7757.89,7703.07
250,Roleta,1,8283.13,7940.11,7882.15
250,Roleta,1,7902.9,7796.17,7943.89
250,Roleta,1,7817.48,7773.36,7570.05
250,Roleta,1,8569.72,8438.16,8383.04
250,Roleta,1,8517.81,8532.84,8423.03
250,Roleta,1,7481.78,7536.22,7441.32
250,Roleta,1,8103.88,8178.89,8130.3
250,Roleta,1,8412.96,8270.19,8066.56
250,Roleta,1,7912.15,8277.19,7806.27
250,Roleta,1,7823.23,7592.53,7750.77
250,Roleta,1,7950.3,8030.95,7553.45
250,Roleta,1,8083.32,8247.19,7958.84
250,Roleta,1,7764.75,7785.11,7407.78
250,Roleta,1,8095.93,8054.59,7884.51
250,Roleta,1,8239.81,8237.8,7966.52
250,Roleta,1,8256.87,8242.82,8114.27
250,Roleta,1,7755.43,7607.64,7724.78
250,Roleta,1,8202.96,8164.91,7906.9
250,Roleta,1,7990.99,8019.21,7827.12
250,Roleta,1,8342.2,8107,8147.16
250,Roleta,1,8442.21,8459.17,7965.4
250,Roleta,1,8123.17,7715.23,8043.07
250,Roleta,1,8256.17,7899.65,7929.51
250,Roleta,1,7973.22,8047.73,7747.56
250,Roleta,1,8540.83,8480.3,8522.05
250,Roleta,1,8420.64,8351.59,8060.72
250,Roleta,1,8219.45,8195.29,7778.87
250,Roleta,1,8219.45,8195.29,7778.87
250,Roleta,2,6792.15,7393.19,7328.39
250,Roleta,2,6850.21,7491.5,7398.02
250,Roleta,2,7389.04,8041.53,7662.85
250,Roleta,2,7098.94,7511.54,7239.3
250,Roleta,2,6738.75,7549.13,7149.01
250,Roleta,2,7477.2,7777.88,7704.99
250,Roleta,2,7026.01,7328.03,7141.22
250,Roleta,2,7397.97,7615.21,7422.02
250,Roleta,2,7616.14,8198.22,7763.89
250,Roleta,2,7160.93,7755.93,7659.95
250,Roleta,2,7499.77,7916.43,7699.85
250,Roleta,2,7202.84,7857.78,7280.19
250,Roleta,2,6978.46,7447.49,7270.8
250,Roleta,2,7356.92,7892.08,7398.73
250,Roleta,2,7335.16,7644.82,7656.86
250,Roleta,2,7760.35,8140.78,7924.63
250,Roleta,2,7119.63,7685.75,7359.69
250,Roleta,2,7241.88,7478.94,7610.69
250,Roleta,2,7066.61,7470.88,7545.55
250,Roleta,2,6726.64,7504.76,7188.04
250,Roleta,2,7489.46,7891.23,7668.29
250,Roleta,2,7170.03,7557.68,7203.37
250,Roleta,2,6932.46,7868.28,7655.03
250,Roleta,2,7535.23,7910.41,7503.46
250,Roleta,2,7132.83,7504.21,7278.93
250,Roleta,2,7070.07,7431.51,7479.66
250,Roleta,2,7280.44,7811.03,7675.96
250,Roleta,2,6713.95,7245.42,7019.1
250,Roleta,2,6924.26,7397.58,7269.74
250,Roleta,2,7247.31,7992.33,7849.48
250,Roleta,2,7260.58,7641.64,7618.35
250,Roleta,2,6832.69,7801.17,7554.21
250,Roleta,2,7150.33,7557.67,7437.17
250,Roleta,2,7035.11,7553.16,7386.14
250,Roleta,2,7139.85,7795.72,7183.23
250,Roleta,2,6789.29,7537.64,7370.55
250,Roleta,2,7586.11,7898.65,7627.88
250,Roleta,2,7161.72,8081.07,7674.05
250,Roleta,2,6849.29,7630.12,7418.47
250,Roleta,2,7417.39,7930.5,7771.81
250,Roleta,2,7720.09,8217.78,7915.66
250,Roleta,2,7481.99,7832.26,7696.31
250,Roleta,2,6883.08,7524.35,7275.57
250,Roleta,2,6713.21,7122.09,6868.94
250,Roleta,2,6957.69,7533.82,7184.35
250,Roleta,2,7325.71,7753.05,7423.43
250,Roleta,2,6880.59,7204.7,6855.16
250,Roleta,2,7705.65,8161.8,7934.42
250,Roleta,2,7178.13,7904.1,7477.75
250,Roleta,2,6948.24,7683.35,7393.65
250,Roleta,2,7323.82,7931.95,7543.63
250,Roleta,2,7423.85,7832.49,7611.78
250,Roleta,2,7053.77,7709.23,7276.58
250,Roleta,2,6642.15,7106.59,7164.77
250,Roleta,2,7502.26,8022.21,8096.39
250,Roleta,2,6702.92,7212.22,7202.47
250,Roleta,2,7782.77,8177.64,7915.3
250,Roleta,2,7535.58,7923.41,7844.5
250,Roleta,2,6769.56,7347.96,6940.59
250,Roleta,2,7060.3,7660.52,7268.75
250,Roleta,2,7034.31,7495.47,7557.48
250,Roleta,2,6441.2,7333.46,6792.9
250,Roleta,2,7011.35,7631.8,7214.69
250,Roleta,2,6829.6,7526.13,7333.62
250,Roleta,2,7141.04,7637.43,7539.2
250,Roleta,2,7146.73,7597.35,7580.99
250,Roleta,2,6724.14,7298,6914.59
250,Roleta,2,7451.82,7893.39,7615.2
250,Roleta,2,6714.25,7371.17,6924.38
250,Roleta,2,6825.3,7403.89,7194.86
250,Roleta,2,6871.7,7635.97,7395.5
250,Roleta,2,7106.06,7828.16,7306.04
250,Roleta,2,7475.45,8061.01,7895.97
250,Roleta,2,6951.83,7510.15,7215.77
250,Roleta,2,7235.53,7573.43,7631
250,Roleta,2,7264.33,7745.11,7501.4
250,Roleta,2,6743.85,7333.02,7199.21
250,Roleta,2,7182.78,7832.26,7410.92
250,Roleta,2,6902.71,7519.19,7203.99
250,Roleta,2,6934.52,7500.41,7435.53
250,Roleta,2,7030.58,7559.96,7401.98
250,Roleta,2,7098.1,7740.81,7473.08
250,Roleta,2,7123.28,7814.04,7618.92
250,Roleta,2,6740.91,7276.35,6879
250,Roleta,2,7221.09,7601.8,7857.42
250,Roleta,2,7016.34,7617.33,7564.02
250,Roleta,2,7758.33,8101.15,7986.36
250,Roleta,2,7124.45,7397.02,7697.39
250,Roleta,2,7029.74,7503.64,7413.25
250,Roleta,2,7173.6,7665.81,7735.8
250,Roleta,2,7266.35,7559.78,7821.15
250,Roleta,2,7266.35,7559.78,7821.15
250,Roleta,3,8176.42,7883.99,7957.3
250,Roleta,3,7409.7,7574,7652.86
250,Roleta,3,7800.72,7840.28,7445.74
250,Roleta,3,7530.53,7145.84,7003.56
250,Roleta,3,7274.51,7346.8,7196.12
250,Roleta,3,7357.71,7299.25,7423.2
250,Roleta,3,7596.6,7464.41,7535.61
250,Roleta,3,7397.91,7270.14,7173.39
250,Roleta,3,7225.03,7142.47,7220.43
250,Roleta,3,7193.91,6990.17,7137.96
250,Roleta,3,7092.99,7337.25,6941.43
250,Roleta,3,8071.58,7874.19,7654.96
250,Roleta,3,8358.12,8168.73,8170.45
250,Roleta,3,7704.84,7827.92,7365.89
250,Roleta,3,7713.79,7654,7346.28
250,Roleta,3,7808.24,7702.22,7370.14
250,Roleta,3,6934.74,7030.27,7160.18
250,Roleta,3,7140.88,7426.67,7476.66
250,Roleta,3,7592.78,7828.07,7947.08
250,Roleta,3,8085.08,8206.89,8164.84
250,Roleta,3,7535.59,7541.72,7605.93
250,Roleta,3,7822.92,7660.52,7810.06
250,Roleta,3,8162.01,8228.66,8260.69
250,Roleta,3,7615.5,7719.32,7541.79
250,Roleta,3,7464.27,7837.37,7634.05
