weight,profit1,profit2,profit3
20.9346,89.5560,72.2291,43.3879
50.0059,79.3249,24.3068,15.2165
32.2283,95.5732,59.3187,71.7940
66.1818,29.9500,64.8020,70.1837
15.6560,54.6356,11.3278,80.7450
57.6914,48.8304,97.2449,96.4868
61.5967,67.8789,43.3258,46.4444
95.3724,66.0580,45.7904,60.1520
78.7618,85.4120,25.4929,37.3533
11.8015,99.0255,55.1032,70.0389
54.3614,44.6340,44.0025,98.1539
45.8741,70.5587,74.0824,76.5497
38.8884,71.5381,98.9119,50.7119
10.8862,50.5700,62.4222,66.2899
87.8976,26.8591,59.8556,94.5753
94.0280,36.6373,36.6323,92.5115
18.9841,86.2567,17.9682,26.4897
49.0064,85.2573,38.8272,12.4143
16.8722,81.7824,40.9677,85.6085
72.0287,63.2588,66.8474,80.5380
39.1286,88.2975,94.7415,81.2558
87.1628,57.6576,64.2936,62.4455
92.1075,81.2104,41.3944,93.6742
59.6070,14.7717,44.2189,51.0499
39.2044,22.0486,56.8262,72.6664
36.2210,75.5903,45.3059,82.6592
22.1998,43.3309,62.0273,83.0139
11.3154,80.0158,25.6646,98.6739
29.4622,64.6862,22.5508,30.3165
44.4046,96.5705,32.1218,19.8454
15.5277,65.7448,43.3648,96.2896
54.8488,81.8392,98.4139,12.2879
15.9877,15.6895,84.9824,90.1716
39.2703,33.5219,31.5414,70.8938
35.9938,11.1776,58.7087,52.1793
69.5805,88.4193,64.5775,95.4945
15.4795,29.3454,52.3228,11.6295
27.4883,46.6287,72.0905,34.2486
42.4388,64.5688,54.0900,83.3940
36.9614,89.7684,28.6354,67.4084
81.9367,35.2905,85.7810,65.3545
35.5429,76.2990,85.5242,78.8515
58.6243,41.7486,79.7035,45.0025
48.7884,77.3680,10.5330,17.1135
58.2124,71.3587,68.4333,35.7490
48.6662,12.4096,21.2266,21.0575
80.2169,25.3792,52.3451,79.4313
92.2968,84.8013,27.2348,20.2347
58.8284,53.7118,63.7934,58.9938
63.4523,11.1972,90.2987,80.4443
41.9079,18.6125,40.1943,64.7361
98.8424,38.9455,53.7657,70.3867
39.4121,99.2975,64.9041,77.3251
53.6668,68.9926,91.8620,82.4691
70.9127,47.2120,26.4399,19.3851
39.5191,64.6425,67.7496,24.2758
19.3064,52.2079,85.6731,69.6909
20.6497,81.1469,93.5950,10.7548
92.4817,76.0581,72.7058,73.2357
68.5545,98.5493,88.4350,27.2059
22.3718,26.7119,34.4729,58.0693
63.7679,47.3425,58.8875,81.3714
11.3563,39.2804,63.6651,63.2005
83.8509,43.0145,55.4183,13.8445
13.8272,21.7552,85.4408,48.7172
50.5529,80.4688,36.4095,54.4657
60.4265,73.5570,27.5775,85.7978
93.0482,90.3457,65.0551,20.1636
99.1903,99.0563,74.2112,77.0099
48.5068,88.6030,81.6090,13.0697
